51 67 -77
35 7 -59
80 48 58
62 54 41
11 7 -61
47 17 60
73 13 52
26 49 -26
44 37 -54
56 50 61
22 77 37
53 52 -3
67 67 -43
14 22 66
6 59 3
34 44 39
22 14 50
79 71 -25
25 23 -48
60 53 46
10 75 30
6 58 30
50 21 -44
47 40 -5
37 7 65
1 59 -60
41 3 -23
53 17 54
13 63 12
14 2 -25
64 29 -55
27 29 -74
17 71 -13
67 8 19
14 35 78
35 40 49
47 12 -65
28 47 44
62 22 -55
3 3 48
9 39 -54
4 2 45
43 62 -25
4 23 9
60 24 10
43 11 -38
27 59 -71
33 48 28
67 66 -74
65 67 -29
46 61 -21
21 67 32
13 32 -73
73 34 -49
80 5 36
11 1 -52
33 16 72
29 13 -39
75 46 -49
69 73 -29
27 33 32
54 51 18
16 78 -76
31 5 -35
9 27 13
74 15 10
73 2 64
65 68 8
55 77 -78
49 52 -21
77 41 1
16 59 -41
11 5 -53
60 25 46
22 33 -8
66 72 47
69 70 6
6 57 76
6 31 8
13 60 64
