31 37 232
9 16 -97
74 59 -63
33 17 -327
24 27 -154
25 45 -176
13 5 339
8 19 214
35 31 52
50 79 126
60 6 -303
30 34 -82
15 13 250
58 14 -112
1 1 57
28 60 -207
16 55 200
7 51 84
1 74 81
65 74 -83
68 24 -126
49 35 307
9 25 -69
68 22 -50
45 6 -129
74 15 -193
76 26 -35
78 4 6
65 33 80
35 48 -31
73 19 -369
37 49 -187
64 17 -274
49 42 -326
65 62 393
28 78 122
24 8 322
6 6 -223
80 45 -312
21 58 33
68 28 -3
29 23 193
48 43 -99
49 63 -166
75 70 188
64 3 -272
53 58 296
60 11 162
56 52 177
78 45 279
49 42 -333
66 72 143
12 68 302
20 57 -218
54 24 -39
44 36 217
11 14 -387
28 34 388
14 38 307
17 13 -356
30 43 -356
31 1 -334
8 51 -135
37 6 184
79 30 -158
75 32 -344
70 31 -91
76 22 -243
33 28 108
45 53 35
27 80 -347
6 25 366
1 49 -117
61 19 -328
54 13 -7
63 5 -14
2 67 107
64 37 241
23 23 -132
43 13 -263
38 10 313
79 63 300
42 25 135
51 8 134
77 4 275
3 65 -124
1 78 220
73 71 -177
41 36 -210
22 57 337
7 8 233
10 17 277
76 5 395
37 34 -216
66 19 130
18 22 -106
69 66 357
46 55 2
17 36 -66
18 66 -174
22 30 -217
72 77 24
73 70 338
31 67 -9
67 76 251
26 41 248
4 60 112
20 49 -174
64 43 -297
59 34 -300
61 65 -113
67 78 348
34 29 39
16 12 -194
60 23 318
55 4 335
35 69 -96
7 13 31
16 59 -217
18 74 171
70 73 -240
41 13 -319
4 79 47
50 48 -88
78 79 -106
59 2 114
23 55 36
48 79 -217
69 58 -114
36 77 315
5 47 323
4 51 -316
41 67 215
53 37 -141
50 28 -242
5 28 24
35 24 -238
25 37 110
16 79 369
17 15 -85
72 40 -380
36 25 65
29 36 57
28 78 -87
42 60 -269
3 71 114
45 42 -14
43 17 255
11 77 -371
31 24 248
11 16 -218
25 15 267
62 17 249
41 38 245
17 72 -86
22 40 348
64 56 384
3 53 132
11 45 -243
27 34 298
69 65 362
47 15 -376
28 74 142
7 57 -340
27 32 -29
18 23 78
71 32 -133
69 63 -269
13 68 25
47 44 -226
61 25 20
24 68 59
56 78 -205
28 11 -58
49 64 178
68 80 -320
20 45 134
52 31 -24
67 37 -342
18 7 327
20 73 -101
22 59 181
57 39 -343
9 31 -311
41 39 -351
41 74 315
73 59 -45
23 19 -142
78 33 -374
59 73 -120
9 26 210
42 22 269
54 8 -167
16 7 211
10 76 -396
50 46 297
11 27 -328
36 68 -13
15 30 251
32 51 -316
5 54 87
65 50 -134
71 49 -326
73 62 -356
46 5 10
36 79 -1
5 66 -220
37 28 373
12 29 -186
28 45 -266
80 75 -324
3 20 273
39 7 246
49 48 76
54 32 -53
6 41 -174
54 27 -258
25 76 79
31 42 -84
14 14 -321
12 12 138
58 48 -350
14 31 -115
34 55 174
40 22 -65
48 11 -40
71 48 384
31 54 363
47 26 -338
14 6 326
37 8 -156
52 20 -238
7 59 -9
1 9 88
4 65 192
51 64 70
39 64 147
67 41 125
37 7 -96
59 15 -356
1 21 0
53 1 198
8 67 354
47 56 -183
74 73 -179
70 40 -345
34 48 -180
70 58 -110
74 68 49
64 43 335
24 72 0
50 77 -335
50 47 -234
59 3 -307
32 35 89
45 46 243
45 2 -177
46 8 348
5 79 -224
40 70 380
61 56 119
11 36 -55
6 50 387
25 63 -364
23 50 -177
41 8 -77
57 17 -308
38 64 -5
38 61 -117
22 26 98
71 45 -271
10 41 31
6 68 -279
34 29 -381
40 62 -234
54 32 163
49 35 -356
40 4 -179
31 27 -288
33 20 161
10 40 -269
8 12 44
65 50 -147
59 26 176
13 32 -137
50 43 312
32 59 196
51 1 103
30 32 323
58 63 75
26 62 -297
55 76 91
71 19 319
73 58 -231
58 53 96
53 2 -197
30 10 55
41 22 307
17 71 -146
63 74 139
41 35 83
17 20 -139
65 18 185
43 67 322
22 76 -201
65 71 -222
38 34 320
29 59 -321
25 64 340
65 8 238
62 40 214
65 56 336
7 5 -231
33 64 -256
70 47 -373
36 27 119
34 54 -307
79 47 198
28 31 314
28 22 -327
47 34 376
12 77 -156
13 19 139
13 66 268
16 37 349
75 9 158
46 33 198
1 27 -108
62 14 77
32 1 374
22 21 -233
19 22 -5
58 28 -49
32 55 333
3 36 -290
38 30 -201
77 60 -181
50 52 20
42 34 -346
42 52 102
32 78 -124
17 31 86
27 57 -399
23 16 -396
61 61 317
66 2 362
24 76 -152
66 13 385
16 35 142
5 68 -249
42 30 -262
52 9 359
35 78 -368
68 61 189
5 20 148
80 20 110
60 50 -300
67 40 -340
11 18 389
30 80 167
4 5 -218
19 17 212
77 80 -175
38 30 234
8 39 65
29 5 -194
9 1 -251
63 2 399
67 16 -86
56 35 -376
7 26 -354
5 4 -177
51 56 -143
67 31 -329
46 49 295
47 72 -258
80 31 392
12 52 -234
43 50 378
14 52 351
46 69 4
54 9 92
30 18 147
56 58 386
55 76 -343
5 14 -248
9 56 142
36 63 -331
59 54 -263
71 45 -110
12 44 -363
23 41 -391
53 61 144
63 17 4
20 3 -396
61 2 -1
32 36 141
5 20 121
54 79 -213
21 56 -280
